market_name,genres,lengths,response_time,description,row_number,tagged_description
The Massachusetts Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",67 days,"We seek a balance between established writers and promising new ones. We're interested in material of variety and vitality relevant to the intellectual and aesthetic questions of our time. We aspire to have a broad appeal; our commitment, in part regional, is not provincial.?? ""Inspired pages are not written to fill space, but for inevitable utterance; and to such our Journal is freely and solicitously open."" É??Ralph Waldo Emerson",387,"387 We seek a balance between established writers and promising new ones. We're interested in material of variety and vitality relevant to the intellectual and aesthetic questions of our time. We aspire to have a broad appeal; our commitment, in part regional, is not provincial.?? ""Inspired pages are not written to fill space, but for inevitable utterance; and to such our Journal is freely and solicitously open."" É??Ralph Waldo Emerson"
The Massachusetts Review - Poetry,"Poetry Poetry Poetry General, Literary",Poetry,173 days,"We seek a balance between established writers and promising new ones. We're interested in material of variety and vitality relevant to the intellectual and aesthetic questions of our time. We aspire to have a broad appeal; our commitment, in part regional, is not provincial.?? ""Inspired pages are not written to fill space, but for inevitable utterance; and to such our Journal is freely and solicitously open."" É??Ralph Waldo Emerson",388,"388 We seek a balance between established writers and promising new ones. We're interested in material of variety and vitality relevant to the intellectual and aesthetic questions of our time. We aspire to have a broad appeal; our commitment, in part regional, is not provincial.?? ""Inspired pages are not written to fill space, but for inevitable utterance; and to such our Journal is freely and solicitously open."" É??Ralph Waldo Emerson"
The Masters Review: New Voices - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",57 days,"Limited Demographic:  authors who have not published a novel-length work or have a novel forthcoming 
                                                                        We accept fiction and narrative non-fiction. We do accept a variety of genres and styles, our only requirement is that you show excellence in your craft. We want to be wowed. Bend genres, experiment with structure, and write your heart out. But please, send us polished work. Our aim is to showcase writers who we believe will continue to produce great work. Send us only your best.",389,"389 Limited Demographic:  authors who have not published a novel-length work or have a novel forthcoming 
                                                                        We accept fiction and narrative non-fiction. We do accept a variety of genres and styles, our only requirement is that you show excellence in your craft. We want to be wowed. Bend genres, experiment with structure, and write your heart out. But please, send us polished work. Our aim is to showcase writers who we believe will continue to produce great work. Send us only your best."
The Metaworker  - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Literary","Flash, Short Story",58 days,"Note: after acceptance, don't submit again for three months. No description available.",391,"391 Note: after acceptance, don't submit again for three months. No description available."
The MockingOwl Roost - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Literary","Flash, Short Story, Novelette, Novella",31 days,"Technically, weÉ??re a literary magazine. In reality, weÉ??re kind of a catch-all publication that embraces every kind of writing and artistry. We have poets, lyricists, illustrators, novelists, essayists, and more contributing and promote the work of performing artists and others we canÉ??t actually publish with us due to their mediums. The only things weÉ??re É??antiÉ?ù about around here are hatred and disrespect of others.",392,"392 Technically, weÉ??re a literary magazine. In reality, weÉ??re kind of a catch-all publication that embraces every kind of writing and artistry. We have poets, lyricists, illustrators, novelists, essayists, and more contributing and promote the work of performing artists and others we canÉ??t actually publish with us due to their mediums. The only things weÉ??re É??antiÉ?ù about around here are hatred and disrespect of others."
The Molotov Cocktail,"Flash Flash Flash General, Action/Adventure, Fantasy, Horror, Literary",Flash,86 days,"Note: may not respond in the case of rejection. The Molotov Cocktail is interested in volatile flash fiction, the kind of prose you cook up in a bathtub and handle with rubber gloves. While literary fiction is certainly welcomed, The Molotov Cocktail isnÉ??t some erudite journal that will only accept stories with at least five layers of metaphor. We want your action, we want your rotten characters, we want viscera. While genre pieces are permissible, anything that is reliant on genre convention over story will not be looked kindly upon. ItÉ??s all about language and story. We encourage surrealist and experimental stuff, so hit us with your best shot, but avoid the following genres because weÉ??ll reject them outright: romance, childrenÉ??s or young adult, swords and sorcerers brand of fantasy.",393,"393 Note: may not respond in the case of rejection. The Molotov Cocktail is interested in volatile flash fiction, the kind of prose you cook up in a bathtub and handle with rubber gloves. While literary fiction is certainly welcomed, The Molotov Cocktail isnÉ??t some erudite journal that will only accept stories with at least five layers of metaphor. We want your action, we want your rotten characters, we want viscera. While genre pieces are permissible, anything that is reliant on genre convention over story will not be looked kindly upon. ItÉ??s all about language and story. We encourage surrealist and experimental stuff, so hit us with your best shot, but avoid the following genres because weÉ??ll reject them outright: romance, childrenÉ??s or young adult, swords and sorcerers brand of fantasy."
The Morning After,"Short Story, Novelette Short Story, Novelette Short Story, Novelette General","Short Story, Novelette",115 days,The Morning After is an anthology about what happens after a sudden transformation. This could be an individual person transforming into something new or a mass change that effects humanity as a whole. How does this person or society react to no longer being human?,394,394 The Morning After is an anthology about what happens after a sudden transformation. This could be an individual person transforming into something new or a mass change that effects humanity as a whole. How does this person or society react to no longer being human?
The MX Book of New Sherlock Holmes Stories Anthology Series,"Short Story, Novelette Short Story, Novelette Short Story, Novelette Mystery/Crime","Short Story, Novelette",39 days,"Note: this is a shared-world anthology. Note: an unspecified portion of royalties is donated to Undershaw School All submissions should be completely Canonical, and written as if they could have appeared alongside the original stories in The Strand magazine. There can be no aspects of parody, no actual supernatural encounters, and no anachronisms or references to modernized television shows that use HolmesÉ??s name. Events established in the original stories canÉ??t be revised or replaced É?? for example, a new and different first meeting between Holmes and Watson wonÉ??t be accepted. No major characters can be killed or damaged É?? put them back on the shelf for the next author as you found them when youÉ??re done.",395,"395 Note: this is a shared-world anthology. Note: an unspecified portion of royalties is donated to Undershaw School All submissions should be completely Canonical, and written as if they could have appeared alongside the original stories in The Strand magazine. There can be no aspects of parody, no actual supernatural encounters, and no anachronisms or references to modernized television shows that use HolmesÉ??s name. Events established in the original stories canÉ??t be revised or replaced É?? for example, a new and different first meeting between Holmes and Watson wonÉ??t be accepted. No major characters can be killed or damaged É?? put them back on the shelf for the next author as you found them when youÉ??re done."
The Mythic Circle - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy","Flash, Short Story",115 days,"We look mostly for original work by authors following in the Mythopoeic tradition; this can include a certain amount of commentary and allusion to the works of other mythopoeic authors (though such allusions and commentary are not necessary). We do not, however, wish to see É??fan fictionÉ?ù É?? stories that make use of characters and settings drawn from works by living or recently deceased authors whose material remains protected under copyright law.",396,"396 We look mostly for original work by authors following in the Mythopoeic tradition; this can include a certain amount of commentary and allusion to the works of other mythopoeic authors (though such allusions and commentary are not necessary). We do not, however, wish to see É??fan fictionÉ?ù É?? stories that make use of characters and settings drawn from works by living or recently deceased authors whose material remains protected under copyright law."
The New Quarterly - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",283 days,"Limited Demographic:  Canadian citizens, residents of Canada, and those who identify as members of the First Nations, Inuit, or M??tis peoples 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: submit only once per calendar year. We seek to publish material that balances rigour, complexity, and innovation with a playful spirit and clear, approachable language.",397,"397 Limited Demographic:  Canadian citizens, residents of Canada, and those who identify as members of the First Nations, Inuit, or M??tis peoples 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: submit only once per calendar year. We seek to publish material that balances rigour, complexity, and innovation with a playful spirit and clear, approachable language."
The New Quarterly - Poetry,Poetry Poetry Poetry General,Poetry,304 days,"Limited Demographic:  Canadian citizens, residents of Canada, and those who identify as members of the First Nations, Inuit, or M??tis peoples 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: submit only once per calendar year. We seek to publish material that balances rigour, complexity, and innovation with a playful spirit and clear, approachable language. We print free verse, ballad, sonnet, epic, and prose poems, and thereÉ??s no need to rhyme unless you want to. TNQ is a generalist magazine, interested in work in a wide variety of formal and stylistic modes. Freshness of style, subject matter, perspective is something we look for.",398,"398 Limited Demographic:  Canadian citizens, residents of Canada, and those who identify as members of the First Nations, Inuit, or M??tis peoples 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: submit only once per calendar year. We seek to publish material that balances rigour, complexity, and innovation with a playful spirit and clear, approachable language. We print free verse, ballad, sonnet, epic, and prose poems, and thereÉ??s no need to rhyme unless you want to. TNQ is a generalist magazine, interested in work in a wide variety of formal and stylistic modes. Freshness of style, subject matter, perspective is something we look for."
The New Republic,Poetry Poetry Poetry General,Poetry,2 days,"The New Republic was founded in 1914 as a journal of opinion which seeks to meet the challenge of a new time. For over 100 years, we have championed progressive ideas and challenged popular opinion. Our vision for today revitalizes our founding mission for our new time. The New Republic promotes novel solutions for todayÉ??s most critical issues. We donÉ??t lament intractable problems; our journalism debates complex issues, and takes a stance. Our biggest stories are commitments for change.",399,"399 The New Republic was founded in 1914 as a journal of opinion which seeks to meet the challenge of a new time. For over 100 years, we have championed progressive ideas and challenged popular opinion. Our vision for today revitalizes our founding mission for our new time. The New Republic promotes novel solutions for todayÉ??s most critical issues. We donÉ??t lament intractable problems; our journalism debates complex issues, and takes a stance. Our biggest stories are commitments for change."
The New Yorker - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",105 days,Note: Will not respond in case of rejection--assume rejection after 90 days. No description available,400,400 Note: Will not respond in case of rejection--assume rejection after 90 days. No description available
The New Yorker - Poetry,Poetry Poetry Poetry General,Poetry,741 days,Note: do not submit more than twice in twelve months No description available.,401,401 Note: do not submit more than twice in twelve months No description available.
The New Yorker - Shouts & Murmurs,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General, Humor","Flash, Short Story, Novelette, Novella",42 days,Keep in mind that Shouts & Murmurs are humorous fiction,402,402 Keep in mind that Shouts & Murmurs are humorous fiction
The Other Stories Podcast (Hawk and Cleaver),Short Story Short Story Short Story Horror,Short Story,233 days,"If you think youÉ??ve got what it takes to terrify, scar and haunt our audience of 150k+ monthly listeners, then we want your stories!",403,"403 If you think youÉ??ve got what it takes to terrify, scar and haunt our audience of 150k+ monthly listeners, then we want your stories!"
The Paris Review - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",94 days,Note: do not submit more than once per submission period. No description available.,404,404 Note: do not submit more than once per submission period. No description available.
The Pinch - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",40 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: if published here, wait one year before submitting again. To our readers, a pinchy piece:  Engages with multiple themes Challenges the status quo of form and content Explores experiences of underrepresented writers",406,"406 Note: remove identifying information from manuscript for anonymous judging. 
 Note: if published here, wait one year before submitting again. To our readers, a pinchy piece:  Engages with multiple themes Challenges the status quo of form and content Explores experiences of underrepresented writers"
The Poetry Review,Poetry Poetry Poetry General,Poetry,92 days,"Note: you may only send postal submissions if you do not have internet access. The Poetry Review, founded in 1912, is the magazine of the Poetry Society, UK, and has a long-standing policy of publishing the very best work by new, up and coming poets, and established poets.",407,"407 Note: you may only send postal submissions if you do not have internet access. The Poetry Review, founded in 1912, is the magazine of the Poetry Society, UK, and has a long-standing policy of publishing the very best work by new, up and coming poets, and established poets."
The Pomegranate London - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",42 days,All genres and styles are welcome.,409,409 All genres and styles are welcome.
The Quarter(ly) - Fiction,"Flash, Short Story, Novelette Flash, Short Story, Novelette Flash, Short Story, Novelette Fantasy","Flash, Short Story, Novelette",30 days,"Works with fantastical elements: scary, happy, creepy, heartbreaking, bizarre, hilarious, whatever. While you can see our É??LovesÉ?ù lower on the page, weÉ??re pretty open to anything thatÉ??s worth picking up.",410,"410 Works with fantastical elements: scary, happy, creepy, heartbreaking, bizarre, hilarious, whatever. While you can see our É??LovesÉ?ù lower on the page, weÉ??re pretty open to anything thatÉ??s worth picking up."
The Quarter(ly) - Poetry,Poetry Poetry Poetry Fantasy,Poetry,54 days,"Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        Works with fantastical elements: scary, happy, creepy, heartbreaking, bizarre, hilarious, whatever. While you can see our É??LovesÉ?ù lower on the page, weÉ??re pretty open to anything thatÉ??s worth picking up.",411,"411 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
                        Works with fantastical elements: scary, happy, creepy, heartbreaking, bizarre, hilarious, whatever. While you can see our É??LovesÉ?ù lower on the page, weÉ??re pretty open to anything thatÉ??s worth picking up."
The Queer Gaze - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Horror, Furry","Flash, Short Story",36 days,"Write us tales of queer monsters that seduce, terrify, and dominate. Create alternate universes where werewolves howl their trans power, vampires thirst unapologetically for liberation, or mummies unravel layers of expectation to reveal goddesses of terror. Think femme fatale divas with claws, FrankensteinÉ??s queer creation, or vengeful spirits smashing heteronormative walls. Give us gothic allure and horror that devours the confines of ""otherness.""",412,"412 Write us tales of queer monsters that seduce, terrify, and dominate. Create alternate universes where werewolves howl their trans power, vampires thirst unapologetically for liberation, or mummies unravel layers of expectation to reveal goddesses of terror. Think femme fatale divas with claws, FrankensteinÉ??s queer creation, or vengeful spirits smashing heteronormative walls. Give us gothic allure and horror that devours the confines of ""otherness."""
The Roanoke Rambler - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",137 days,"We accept and publish a broad range of original fiction, essays and poetry, with a preference for works written by those who live in the Roanoke area or broader region, to include Virginia, Appalachia and the American South.",413,"413 We accept and publish a broad range of original fiction, essays and poetry, with a preference for works written by those who live in the Roanoke area or broader region, to include Virginia, Appalachia and the American South."
The Rumen - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Humor, Literary, General, Fantasy, Horror","Flash, Short Story",88 days,"Note: submit no more often than once every three months. The rumen is our favorite portion of the cowÉ??s stomach. It is here that gut microbes facilitate fermentation of ingested foodstuffs. It is here that all those difficult cereals and grasses, those hard-to-process things, start to break down. We like to think of literature as a sort of rumen, that narrow tunnel where things accrue, sit, on their way to something elemental. We publish works that move in the conceptual, that draw the tangential lines between condition and potential. We seek work that blends neoclassical ideas with urban grunge, the high concepts of reality mixed with the low reductions of fantasy. Like the aforementioned digesta, we want things that find new meaning when thrust through the reticulum of the written word. We want humor, horror, strange fixations, canvases upended, bodies broken down cell by cell. We know, we know, there are plenty of submission guidelines with similarly vague poetasting out there. The fact is we donÉ??t always know what we want until we see it, until we sit with it a whileÉ??ruminate on it, if you will. We at The Rumen publish strange, high concept stories with expert framing. We want tales that project themselves beyond the confines of their word limits, with extra believable or unbelievable characters, and balanced prose that demonstrates equal mastery of action and imagery. Our favorite stories leave us with as many questions as answers, so donÉ??t be afraid to weave in your best literary ambiguity. That being said, the purely aesthetic can be a hard sell, so consider closely before sending us your experimental dystopian cyber-thrillers.",414,"414 Note: submit no more often than once every three months. The rumen is our favorite portion of the cowÉ??s stomach. It is here that gut microbes facilitate fermentation of ingested foodstuffs. It is here that all those difficult cereals and grasses, those hard-to-process things, start to break down. We like to think of literature as a sort of rumen, that narrow tunnel where things accrue, sit, on their way to something elemental. We publish works that move in the conceptual, that draw the tangential lines between condition and potential. We seek work that blends neoclassical ideas with urban grunge, the high concepts of reality mixed with the low reductions of fantasy. Like the aforementioned digesta, we want things that find new meaning when thrust through the reticulum of the written word. We want humor, horror, strange fixations, canvases upended, bodies broken down cell by cell. We know, we know, there are plenty of submission guidelines with similarly vague poetasting out there. The fact is we donÉ??t always know what we want until we see it, until we sit with it a whileÉ??ruminate on it, if you will. We at The Rumen publish strange, high concept stories with expert framing. We want tales that project themselves beyond the confines of their word limits, with extra believable or unbelievable characters, and balanced prose that demonstrates equal mastery of action and imagery. Our favorite stories leave us with as many questions as answers, so donÉ??t be afraid to weave in your best literary ambiguity. That being said, the purely aesthetic can be a hard sell, so consider closely before sending us your experimental dystopian cyber-thrillers."
The Rumen - Poetry,"Poetry Poetry Poetry General, Fantasy, Horror, Humor",Poetry,51 days,"Note: submit no more often than once every three months. The rumen is our favorite portion of the cowÉ??s stomach. It is here that gut microbes facilitate fermentation of ingested foodstuffs. It is here that all those difficult cereals and grasses, those hard-to-process things, start to break down. We like to think of literature as a sort of rumen, that narrow tunnel where things accrue, sit, on their way to something elemental. We publish works that move in the conceptual, that draw the tangential lines between condition and potential. We seek work that blends neoclassical ideas with urban grunge, the high concepts of reality mixed with the low reductions of fantasy. Like the aforementioned digesta, we want things that find new meaning when thrust through the reticulum of the written word. We want humor, horror, strange fixations, canvases upended, bodies broken down cell by cell. We know, we know, there are plenty of submission guidelines with similarly vague poetasting out there. The fact is we donÉ??t always know what we want until we see it, until we sit with it a whileÉ??ruminate on it, if you will. We are interested in poetry that emphasize craft. We want poems with interesting forms, strong sonics, and striking images flawlessly rendered. Traditional forms are welcome but we lean more toward works that take risks and challenge notions of traditional poetics. We especially appreciate conceptual poems that do a few things really well rather than many things with mediocrity.",416,"416 Note: submit no more often than once every three months. The rumen is our favorite portion of the cowÉ??s stomach. It is here that gut microbes facilitate fermentation of ingested foodstuffs. It is here that all those difficult cereals and grasses, those hard-to-process things, start to break down. We like to think of literature as a sort of rumen, that narrow tunnel where things accrue, sit, on their way to something elemental. We publish works that move in the conceptual, that draw the tangential lines between condition and potential. We seek work that blends neoclassical ideas with urban grunge, the high concepts of reality mixed with the low reductions of fantasy. Like the aforementioned digesta, we want things that find new meaning when thrust through the reticulum of the written word. We want humor, horror, strange fixations, canvases upended, bodies broken down cell by cell. We know, we know, there are plenty of submission guidelines with similarly vague poetasting out there. The fact is we donÉ??t always know what we want until we see it, until we sit with it a whileÉ??ruminate on it, if you will. We are interested in poetry that emphasize craft. We want poems with interesting forms, strong sonics, and striking images flawlessly rendered. Traditional forms are welcome but we lean more toward works that take risks and challenge notions of traditional poetics. We especially appreciate conceptual poems that do a few things really well rather than many things with mediocrity."
The School Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General, Fantasy, Historical, Humor, Middle Grade","Flash, Short Story",3 days,"Stories can be realistic, fantastical or humorous genres with contemporary or historical settings. Stories should demonstrate clear, intriguing prose, originality of characters and fresh storylines. Write for our readers: most are Australian children between the ages of 8 and 12. Remember that The School Magazine aims to reflect the diversity and inclusivity of Australian society.",418,"418 Stories can be realistic, fantastical or humorous genres with contemporary or historical settings. Stories should demonstrate clear, intriguing prose, originality of characters and fresh storylines. Write for our readers: most are Australian children between the ages of 8 and 12. Remember that The School Magazine aims to reflect the diversity and inclusivity of Australian society."
The School Magazine - Poetry,"Poetry Poetry Poetry General, Middle Grade",Poetry,3 days,"High-quality poetry that is dynamic, evocative and original is welcomed. If using traditional metre and rhyme, ensure that the metre is consistent and the rhyme unforced. Write for our readers: most are Australian children between the ages of 8 and 12. Remember that The School Magazine aims to reflect the diversity and inclusivity of Australian society.",419,"419 High-quality poetry that is dynamic, evocative and original is welcomed. If using traditional metre and rhyme, ensure that the metre is consistent and the rhyme unforced. Write for our readers: most are Australian children between the ages of 8 and 12. Remember that The School Magazine aims to reflect the diversity and inclusivity of Australian society."
The Screw Turn Flash Fiction Competition,"Flash Flash Flash Fantasy, Horror",Flash,30 days,"As with The Ghost Story Supernatural Fiction Award, in our flash fiction competition weÉ??re seeking the finest work we can find that incorporates an uncanny element. Ghost stories are welcome, of courseÉ??but your submission may involve any paranormal or supernatural theme, as well as magic realism. What weÉ??re looking for is superb writing, fresh perspectives, and maybe a few surprises.",420,"420 As with The Ghost Story Supernatural Fiction Award, in our flash fiction competition weÉ??re seeking the finest work we can find that incorporates an uncanny element. Ghost stories are welcome, of courseÉ??but your submission may involve any paranormal or supernatural theme, as well as magic realism. What weÉ??re looking for is superb writing, fresh perspectives, and maybe a few surprises."
The SDL Review  - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",68 days,"Note: if your work is accepted, wait two months after publication to submit again. The SDL Review is founded on the profound belief that poets and writers have the power to transcend boundaries, foster empathy, enhance understanding, and catalyze social change. We believe literature should reflect the complexity of life and we aim to offer a broader, more accurate view of the human condition. We are drawn to evocative, raw, poignant, and powerful pieces of substance and style. Pluck at our heartstrings, speak to our souls, send shivers down our spines, shine a light on our darkness, and uncover our unspoken truths.",421,"421 Note: if your work is accepted, wait two months after publication to submit again. The SDL Review is founded on the profound belief that poets and writers have the power to transcend boundaries, foster empathy, enhance understanding, and catalyze social change. We believe literature should reflect the complexity of life and we aim to offer a broader, more accurate view of the human condition. We are drawn to evocative, raw, poignant, and powerful pieces of substance and style. Pluck at our heartstrings, speak to our souls, send shivers down our spines, shine a light on our darkness, and uncover our unspoken truths."
The Shanghai Literary Review (Online) - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Literary","Flash, Short Story",83 days,"Note: if published here, wait to submit until after 2 further issues have been published. Founded in Shanghai in 2016, we draw inspiration from the cityÉ??s vibrant culture and history, fostering dialogue around literary and artistic works to enrich our understanding of AsiaÉ??s diverse voices and narratives. We are interested in art and writing about urbanism, globalism, identity, and transnationalism, though by no means should submissions be limited to those topics. We'll publish a good story about cats in Africa if it floors us.",422,"422 Note: if published here, wait to submit until after 2 further issues have been published. Founded in Shanghai in 2016, we draw inspiration from the cityÉ??s vibrant culture and history, fostering dialogue around literary and artistic works to enrich our understanding of AsiaÉ??s diverse voices and narratives. We are interested in art and writing about urbanism, globalism, identity, and transnationalism, though by no means should submissions be limited to those topics. We'll publish a good story about cats in Africa if it floors us."
The sine qua non - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",115 days,we want to read work whose characters and places move us and whose forms compel us to wrestle with them. Send us writing that asks us to (re)consider what writing can do and why it is shaped a certain way.,423,423 we want to read work whose characters and places move us and whose forms compel us to wrestle with them. Send us writing that asks us to (re)consider what writing can do and why it is shaped a certain way.
The South Carolina Review - Fiction,"Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella Flash, Short Story, Novelette, Novella General","Flash, Short Story, Novelette, Novella",236 days,"Note: one submission per submission period. The South Carolina Review is reimagining the Southern Literary Magazine, continuing in the spirit of literary innovation found in the works of writers such as O?Connor, Faulkner, Hurston, Welty, Walker, Dickey, and Ellison while expanding our gaze and range to encompass the best of contemporary literature from a variety of perspectives. We attempt to reflect the diverse experience of our readers and contributors by publishing affecting, thought-provoking work from both new and established writers from a wide background.",424,"424 Note: one submission per submission period. The South Carolina Review is reimagining the Southern Literary Magazine, continuing in the spirit of literary innovation found in the works of writers such as O?Connor, Faulkner, Hurston, Welty, Walker, Dickey, and Ellison while expanding our gaze and range to encompass the best of contemporary literature from a variety of perspectives. We attempt to reflect the diverse experience of our readers and contributors by publishing affecting, thought-provoking work from both new and established writers from a wide background."
The Spotlong Review - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",30 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: they accept work in other languages. Note: if accepted, wait one year from publication before submitting again We are looking for writing that is personal, philosophical, experimental, ripe, queer, feministÉ??we are a journal of eclectic tastes.",427,"427 Note: remove identifying information from manuscript for anonymous judging. 
 Note: they accept work in other languages. Note: if accepted, wait one year from publication before submitting again We are looking for writing that is personal, philosophical, experimental, ripe, queer, feministÉ??we are a journal of eclectic tastes."
The Sprawl Mag - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Fantasy, Science Fiction","Flash, Short Story",109 days,"The Sprawl Mag is a (cyber-)feminist, anti-colonial speculative fiction, poetry, and visual art magazine focused on publishing perspectives that have historically been left out of canonical sci-fi and fantasy.",429,"429 The Sprawl Mag is a (cyber-)feminist, anti-colonial speculative fiction, poetry, and visual art magazine focused on publishing perspectives that have historically been left out of canonical sci-fi and fantasy."
The Sprawl Mag - Poetry,"Poetry Poetry Poetry Fantasy, Science Fiction",Poetry,104 days,"The Sprawl Mag is a (cyber-)feminist, anti-colonial speculative fiction, poetry, and visual art magazine focused on publishing perspectives that have historically been left out of canonical sci-fi and fantasy.",430,"430 The Sprawl Mag is a (cyber-)feminist, anti-colonial speculative fiction, poetry, and visual art magazine focused on publishing perspectives that have historically been left out of canonical sci-fi and fantasy."
The Stygian Zine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story Horror, Fantasy","Flash, Short Story",124 days,"Focusing on the theme ""Stygian"", we ask writers to meditate on their meaning of the word.",431,"431 Focusing on the theme ""Stygian"", we ask writers to meditate on their meaning of the word."
The Summerset Review - Fiction,"Flash, Short Story, Novelette Flash, Short Story, Novelette Flash, Short Story, Novelette Literary","Flash, Short Story, Novelette",98 days,Note: Contributors should wait a year before submitting again No description available.,433,433 Note: Contributors should wait a year before submitting again No description available.
The Summerset Review - Poetry,Poetry Poetry Poetry Literary,Poetry,90 days,Note: Contributors should wait a year before submitting again No description available.,435,435 Note: Contributors should wait a year before submitting again No description available.
The Sun Magazine - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",129 days,"Send us your emotionally honest story É?? the one that helps us learn what it feels like to be someone else. Share satire that hits close to home, tragedy that's cathartic without being manipulative, or a parable that lingers long after we finish reading. WeÉ??re looking for stories in any genre of fiction that take risks to tell us something true about ourselves.",436,"436 Send us your emotionally honest story É?? the one that helps us learn what it feels like to be someone else. Share satire that hits close to home, tragedy that's cathartic without being manipulative, or a parable that lingers long after we finish reading. WeÉ??re looking for stories in any genre of fiction that take risks to tell us something true about ourselves."
The Sun Magazine - Poetry,Poetry Poetry Poetry General,Poetry,130 days,"Send us your poem that basks in the mysteries of the universe É?? the one where the smallest detail tells us about our place in the world. Share reflections on your relationships, questions for God, or an elegy for something youÉ??ve lost. WeÉ??re looking for poems É?? usually narrative but always accessible É?? that invite us into your confidence and lead us to revelation.",438,"438 Send us your poem that basks in the mysteries of the universe É?? the one where the smallest detail tells us about our place in the world. Share reflections on your relationships, questions for God, or an elegy for something youÉ??ve lost. WeÉ??re looking for poems É?? usually narrative but always accessible É?? that invite us into your confidence and lead us to revelation."
The Sunlight Press - Fiction,"Flash, Short Story Flash, Short Story Flash, Short Story General","Flash, Short Story",45 days,"Note: remove identifying information from manuscript for anonymous judging. 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: wait 3 months after a response to submit again. We want to hear the ways people turn toward light and hope, whether it is through the arts, culture, spirituality, or humor, and also how they respond to the darkness and navigate unknown spaces. Epiphanies are born from the ordinary and the extraordinary; whether itÉ??s a reflection unfolding during a morning walk, after the loss of a loved one, or in the middle of unexpected laughter, we want to know about these moments.",439,"439 Note: remove identifying information from manuscript for anonymous judging. 
 Note: this publication may close early for submissions if they reach a submission quota; these early closures will not be tracked in this listing. 
 Note: wait 3 months after a response to submit again. We want to hear the ways people turn toward light and hope, whether it is through the arts, culture, spirituality, or humor, and also how they respond to the darkness and navigate unknown spaces. Epiphanies are born from the ordinary and the extraordinary; whether itÉ??s a reflection unfolding during a morning walk, after the loss of a loved one, or in the middle of unexpected laughter, we want to know about these moments."
